title,director,cast,country,release_year,rating,duration,listed_in,description,platform
Dark Side of the Ring: After Dark,,,United States,2020,,1,"Documentaries, Sports","Hosted by wrestling-obsessed comedian Chris Gethard, this after show series further investigates the stories and themes following each gripping Dark Side of the Ring episode and celebrates wrestling subculture with a panel of celebrity guests.",Hulu
Nazi Megastructures,,,United States,2013,TV-14,2,"Documentaries, Science & Technology","A new episode of this series will be available every Friday. Each episode will expire 35 days from its individual launch date. In his quest for world domination, Hitler demanded some of the biggest and deadliest pieces of military hardware in history. In this series, the shock and awe tactics of the Blitzkrieg, the unparalleled fortifications on The Channel Islands and the Fuhrer's Megasub - a silent killing machine that had the potential to win the war for the Nazis - are all explored.",Hulu
Find Me in Paris,,,"France, Germany",2018,TV-PG,3,"Family, Kids, Lifestyle & Culture","When Lena Grisky, a Russian Princess and student at the Paris Opera Ballet School accidentally time travels to present day, she must quickly adapt if she hopes to keep her secret and hide from the dangerous Time Collectors.",Hulu
ThunderCats (1985),,,United States,1985,TV-Y7,2,"Action, Adventure, Cartoons","From beyond any known galaxy, bringing with them the laws and ideals of their green planet, Thundera, come the ThunderCats!",Hulu
ThunderCats (2011),,,"United States, Japan",2011,TV-PG,1,"Action, Kids","ThunderCats, ho! Warner Bros. Animation (WBA) is reimagining the 1980s animated action classic in an all-new animated series combining swords and science and boasting ferocious battles with the highest of stakes.",Hulu
Christina on the Coast,,,United States,2019,TV-G,2,"Lifestyle & Culture, Reality",Real estate and flipping expert Christina Anstead helps clients transform their outdated properties into high-end homes in Southern California. She also begins a personal journey as she looks for a new home for her family.,Hulu
Mediterranean Life,,,United States,2017,TV-G,1,Lifestyle & Culture,"In search of a peaceful, healthy lifestyle filled with sun-drenched beaches and gorgeous weather, potential homeowners shop for houses along the Mediterranean Sea.",Hulu
Savage Kingdom,,,United States,2016,TV-14,1,"Documentaries, Drama, Science & Technology","Three thousand square miles of remote African Savannah this ancient land is governed by competing clans of ruthlessly proficient predators. Each day is a life and death struggle – animal against animal, animal against nature. Savute is a land where natural law is taken to its limit and sometimes... beyond. It has always been this way. Like a lion with a wildebeest, this six-part drama takes the viewer by the throat in a bitter, sweet embrace of life and death and refuses to let go until the final curtain.",Hulu
Our Time: Oklahoma State Football,,,United States,2020,,1,"Documentaries, Sports","Chronicling the unique circumstances of Oklahoma State's 2020 football season – from navigating a global pandemic and preseason controversy, to the urgency and uncertainty hanging over a new season with big preseason expectations and more.",Hulu
No Guns Life,,,Japan,2019,TV-14,2,"Action, Adventure, Anime","Juzo Inui awakens as an Extended, a cyborg human soldier. Unsure of how he became altered, he takes to the dark city streets as a Resolver, hoping to find the answers to his burning questions.",Hulu
The Kids Are Alright,,,United States,2018,TV-PG,1,"Comedy, Sitcom","Set in the 1970s, this ensemble comedy follows a traditional Irish-Catholic family, the Clearys, as they navigate big and small changes during one of America’s most turbulent decades. In a working-class neighborhood outside Los Angeles, Mike and Peggy raise eight boisterous boys who live out their days with little supervision. The household is turned upside down as the times are changing and this family will never be the same. There are 10 people, three bedrooms, one bathroom and everyone in it for themselves.",Hulu
La Bella Ceci Y El Imprudente,,,United States,2009,,1,"Drama, Latino","Un hombre rico y un hombre pobre deciden intercambiar roles, encontrar el verdadero significado de sus vidas y amar.",Hulu
Teen Titans Go!,,,United States,2015,TV-PG,5,"Action, Adventure, Kids","From Warner Bros. Animation, these teen titans are on the go! Right after they make a sandwich or play some video games. Wait, there's laundry to do? (""Not it!"") After that, they'll definitely go fight some crime. Maybe. Don't miss the return of Robin, Starfire, Raven, Beast Boy and Cyborg - teen super heroes who are totally unsupervised!",Hulu
A Certain Scientific Railgun,,,Japan,2009,TV-14,3,"Action, Adventure, Anime","Find all the adventure Academy City has to offer with highly skilled esper Misaka Mikoto and her esper roommate, Kuroko Shirai. They're joined by Kazari Uiharu and Ruiko Saten, whose esper levels happen to rank from super-low to zero!",Hulu
Cocoa Butter's The Era,,,United States,2019,,1,Lifestyle & Culture,“Cocoa Butter’s The Era” reminisces on the shared nostalgia of all things ‘90s by looking back at the most iconic moments of the decade and digging into today’s pop culture that is rooted in that era.,Hulu
Tasty's Making It Big,,,United States,2018,,2,Documentaries,"Tasty Producer Alvin takes on the challenge of turning one of his friends’ food fantasies into a giant, delicious reality. Will it be a dream come true? Or is he biting off way more than he can chew?",Hulu
Borderforce USA,,,United States,2018,TV-G,2,"Documentaries, Drama",Following the Department of Homeland Security Customs and Border Protection agency as they operate on the 28 bridges connecting the United States of America and Mexico.,Hulu
Auditions,,,United States,2020,,1,Comedy,Actors suffer the indignity of auditioning. Presented by Cake on FX.,Hulu
When Sharks Attack,,,United States,2018,TV-14,6,"Documentaries, News, Science & Technology","From the coast of America to the exotic beaches around the world, the number of reported shark attacks has increased in the last half century. Many attacks are appearing in new and surprising places.",Hulu
Bong Appetit,,,United States,2017,TV-14,3,"Cooking & Food, Lifestyle & Culture, Reality","Abdullah Saeed and his team throw the world's most elaborate cannabis dinner parties, inviting notable chefs to come and create a meal in a kitchen stocked with the biggest selection of marijuana ingredients ever assembled.",Hulu
The New York Times Presents,,,United States,2020,TV-MA,1,News,"The New York Times Presents is a series of standalone documentaries representing the unparalleled journalism and insight of The New York Times, bringing viewers close to the essential stories of our time.",Hulu
Black Butler,,,Japan,2008,TV-14,2,"Action, Adventure, Anime","Ciel Phantomhive was born into a life of luxury, only to have his parents murdered before his eyes. Wrought with grief, he summoned a devilish servant, Sebastian, to help him track down - and suitably punish - the fiends who made him an orphan.",Hulu
Dicktown,,,United States,2020,,1,Comedy,"Welcome to Richardsville, NC (aka DICKTOWN to the locals), its famous boy detective, John Hunchman, and his hired muscle, David Purefoy. Except they're not boys any more and while they're still detectives, they still only solve crimes for teenagers. Presented by Cake on FX.",Hulu
The Fosters,,,United States,2013,TV-14,5,"Drama, Teen","A multi-ethnic family with a mix of foster and biological kids are being raised by two moms. Stef Foster, a dedicated police officer, and her partner Lena Adams, a school Vice Principal, have built a strong family with Stef's biological son from a previous marriage, Brandon, and their adopted twins, Mariana and Jesus. Their lives are turned upside down when Lina meets Callie, a teen with an abusive past who has spent her life in foster homes. Lena and Stef decide to welcome Callie into their home thinking it will be temporary.",Hulu
EvanTubeHD Smiles & Smarts by pocket.watch,,,United States,2015,,1,Kids,"Join your favorite kid video stars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, share in the fun with EvanTubeHD, his sister JillianTubeHD, and the whole Tube Family, as they do fun challenges, science experiments, and more!",Hulu
HobbyKidsTV Smiles & Smarts by pocket.watch,,,United States,2019,,1,Kids,"Join your favorite kid video stars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, come along with popular vlogging family, HobbyKidsTV - as they explore everything from what's inside a tube of toothpaste to how volcanoes erupt.",Hulu
Jason Vlogs Smiles & Smarts by pocket.watch,,,United States,2019,,1,Kids,"Join your favorite kid video stars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, vlogging star Jason Vlogs and his brother, Alex, help kids develop real world skills through pretend play!",Hulu
Jillian's Mystery Craft Box by pocket.watch,,,United States,2020,,1,Kids,"Karina Garcia –the internet's most famous crafter– is putting kid video star JillianTube's DIY skills to the test! In each episode of the all new series Jillian's Mystery Craft Box, Jillian must create an exciting and unique craft using only the items given to her in a mystery box. With some help from The Tube Family, including fellow kid video star, EvanTube – plus her adorable cartoon crafting buddies – Jillian proves she's up to the challenge! Presented by pocket.watch.",Hulu
JillianTubeHD Smiles & Smarts by pocket.watch,,,United States,2016,,1,Kids,"Join your favorite kid video stars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, share in the fun with EvanTubeHD, his sister JillianTubeHD, and the whole Tube Family, as they do fun challenges, science experiments, and more!",Hulu
Karina Garcia Smiles & Smarts by pocket.watch,,,United States,2017,,1,Kids,"Join your favorite kid video stars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, the internet's most famous crafter, Karina Garcia AKA the ""Queen of Slime"", shares her love of DIY crafts, squishies, hacks, and of course: all things slime!",Hulu
KidCity Smiles & Smarts by pocket.watch,,,United States,2017,,1,Kids,"Join your favorite kid video stars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, share in the good times with popular vlogging family KidCity – as they do fun challenges and DIY projects, play IRL games, and more!",Hulu
MarMar Land Smiles & Smarts by pocket.watch,,,United States,2020,,1,Kids,"Join your favorite kid video stars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, rising star Marlin ""MarMar"" Chan teaches kids practical life skills in a playful way, with help from friends like Ryan from Ryan's World and Guava Juice – welcome to MarMar Land!",Hulu
Onyx Family Smiles & Smarts by pocket.watch,,,United States,2017,,1,Kids,"Join your favorite kid video stars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, Onyx Family – best known for their funny and spooky skits starring the Onyx Kids: Shiloh, Shasha, Sinead, and Shalom – bring you kid-friendly DIY experiments, challenges, and more!",Hulu
Ryan's World Specials presented by pocket.watch,,,United States,2019,TV-G,4,"Family, Kids","Join your favorite YouTube superstar, Ryan - and all of his Ryan's World friends - in this all new series of Ryan's World Specials presented by pocket.watch. Watch as Ryan, Gus the Gummy Gator, Combo Panda, and others explore the world through play, doing fun challenges, kid-friendly science experiments, and so much more!",Hulu
Scratch Garden Smiles & Smarts by pocket.watch,,,United States,2020,,1,Kids,"Join your favorite kid video superstars on all of their fun learning adventures, in this all new Smiles & Smarts series presented by pocket.watch! In this edition of Smiles & Smarts, Scratch Garden delivers fun, educational videos for young minds – and anyone who loves to laugh and learn!",Hulu
1000-lb Sisters,,,United States,2020,TV-14,1,"Documentaries, Reality","Amy and Tammy Slaton are obese sisters in need of medical weight-loss surgery. They currently run a successful YouTube channel that has been their only source of income, because with their weight, they are barely able to move around.",Hulu
90 Day Fiancé: The Other Way,,,United States,2019,TV-14,1,Reality,"How far would you go for love? Fans of 90 Day Fiancé have seen lovestruck foreigners make the big adjustment of moving to America, and now they’ll get to follow hopeful couples where it’s the American moving abroad.",Hulu
Buddy vs. Duff,,,United States,2019,TV-PG,1,"Cooking & Food, Lifestyle & Culture, Reality","Buddy Valastro and Duff Goldman compete in a series of bake-offs that test their dessert skills. The judges will crown one winner, putting an end to the greatest feud in baking history.",Hulu
"Burgers, Brew & 'Que",,,United States,2015,TV-G,4,"Cooking & Food, Lifestyle & Culture","Michael Symon takes a road trip to taste the best of the American classics: burgers, barbecue and beer. Whether it's mile-high cheeseburgers or fall-off-the-bone ribs, Michael explores the best All-American spots and local brews.",Hulu
Chris Farley: Anything for a Laugh,,,United States,2019,TV-14,1,"Documentaries, News","In his all-too-brief career, Chris Farley connected viscerally with audiences, creating hilarious characters that have stood the test of time. Beginning in the Midwest, Farley moved his way through the Chicago improv and sketch comedy scene at IO and Second City. He broke through as a cast member of Saturday Night Live and later starred in several iconic big screen comedies. However, behind the over-the-top stage presence were insecurities that were deeply tied to his addictive personality. We'll examine Farley's tragically short life, both the amped-up force of nature in front of the camera and shy, childlike figure people knew behind the scenes. The two-hour special will utilize rare personal photos and videos, and feature new interviews with John Goodman, Al Franken, Kevin Nealon, Tom Arnold, Bobby Moynihan, Joel Murray, Kevin Farley, Brian Stack, Holly Wortell and Fred Wolf.",Hulu
Family by the Ton,,,United States,2019,TV-14,1,Documentaries,"The Andersons, who weigh in at over 3000-lbs for the 6 of them, all have debilitating food addictions and include two family members who weigh in at well over 600-lbs.",Hulu
Ghost Hunters,,,United States,2019,TV-14,1,"Drama, Horror, Mystery","After terrifying and captivating fans for 11 seasons, the series that introduced the world to the field of authentic paranormal investigation returns with a familiar face and a brand-new spook squad. Grant Wilson, one of the original team leaders of ""Ghost Hunters,"" joins a handpicked group of professionals who uses its decades of field experience to help everyday people across the country who are struggling with supernatural phenomena. The team utilizes forensic experts, historical records and the most innovative technology available to follow the evidence wherever it may lead and discover the truth behind the unexplained hauntings.",Hulu
Intervention,,,United States,2005,TV-14,4,"Documentaries, Health & Wellness, Reality","Intervention is a powerful and gripping television series in which people confront their darkest demons and seek a route to redemption. The show profiles people whose dependence on drugs and alcohol or other compulsive behavior has brought them to a point of personal crisis and estranged them from their friends and loved ones. Each Intervention episode ends with a surprise intervention that is staged by the family and friends of the alcohol or drug addict, and which is conducted by one of two Intervention specialists: Jeff VanVonderen and Candy Finnigan. Intervention raises awareness about the alternatives and treatment options available to those who suffer from an alcohol or drug addiction, and gives hope to families who have nowhere left to turn.",Hulu
Married at First Sight: Jamie and Doug Plus One,,,United States,2017,TV-PG,1,Reality,"""Married at First Sight: Jamie and Doug Plus One"" documents the emotional moments leading up to and capturing the birth of Jamie and Doug's daughter three years after they met for the very first time at the altar on the first season of ""Married at First Sight."" Follow the Hehners as they navigate all the ups and downs of parenthood and fall in love with their baby girl – at first sight.",Hulu
Psychic Kids,,,United States,2019,TV-PG,1,"Drama, Mystery, Reality","Ten years ago, ""Psychic Kids"" chronicled the journeys of children who were learning to control their extraordinary abilities – and it changed their lives",Hulu
Say Yes to the Nest,,,United States,2019,TV-G,1,"Lifestyle & Culture, Reality",Young and eager newlywed couples set out to make their real estate dreams a reality.,Hulu
The American Farm,,,United States,2019,TV-PG,1,"Documentaries, Reality, Science & Technology","The American Farm puts viewers on the front lines of the fight to go from seed to stalk, and from farm to fork. It's an honest, true tale of risk and reward, hard work, science, and grit.",Hulu
The Day I Picked My Parents,,,United States,2019,TV-PG,1,"Documentaries, Reality",Ten foster children who are part of a revolutionary program operated by the nonprofit organization Kidsave search to find their forever home.,Hulu
The Grill Dads,,,United States,2017,TV-G,1,"Cooking & Food, Lifestyle & Culture, Reality","Hit the road with Mark and Fey, BFF dads with a combined love of all things grilled, fried, creative and downright flavorful. They'll showcase some of the most-epic bites to leave you wanting more – and perhaps serve up a few dad jokes while they're at it.",Hulu
The Strongest Man in History,,,United States,2019,TV-PG,1,"Documentaries, Reality","HISTORY’s new series “The Strongest Man In History,” will send four of the world’s leading strongmen; – Brian Shaw, Eddie Hall, Robert Oberst and Nick Best – on a journey across the world in an attempt to break long-standing records of historic strength.",Hulu
The Toe Bro,,,United States,2019,TV-14,1,"Documentaries, Reality","“The Toe Bro” follows Jonathan Tomines, a foot specialist who treats a range of shocking foot problems for patients who come from far and wide seeking his help.",Hulu
Unexpected,,,United States,2017,TV-14,3,Reality,Unexpected explores the ups and downs of pregnant teen couples and the parents who raised them. Tensions mount between the families as everyone has conflicting ideas for what is best for the young parents and their child - from where they will live to whether or not they should get married.,Hulu
Welcome to Plathville,,,United States,2019,TV-PG,1,Reality,"The Plaths are a strikingly blonde, blue-eyed Quiverfull family with 9 children in Southeastern Georgia, who are very passionate about traditional roles, their courtship rituals, music, God, and domestic life.",Hulu
Digimon Adventure:,,,United States,2020,,1,Anime,"It's the year 2020. The Network has become something humans can no longer do without in their daily lives. But what humans don't know is that on the other side of the Network is the Digital World, a realm of light and darkness. Nor are they aware of the Digimon who live there. Widespread Network difficulties arise, centered around the Tokyo area. Traffic signals blink chaotically, public outdoor TVs display garbled text, and so on. The news reports it as a case of cyberterrorism. Fifth grader Taichi Yagami stayed home by himself to get ready for a weekend summer camp, but his mother and little sister Hikari went to Shibuya, and now they're aboard a runaway train. Taichi hurries to Shibuya to save his mother and sister, but the instant he heads toward the station platform... a strange phenomenon befalls the DigiDestined, and Taichi goes to the Digital World! The DigiDestined meet their partner Digimon, and they're faced with an adventure into the unknown...!",Hulu
Merlin,,,United Kingdom,2008,TV-14,5,"Drama, International, Science Fiction",The adventures of the legendary sorcerer as a young man.,Hulu
Drug Lords: The Next Generation,,,United States,2020,TV-14,1,"Crime, Documentaries",A new generation of cocaine traffickers emerges and the police have the job of taking them down.,Hulu
Taste the Nation with Padma Lakshmi,,,United States,2020,TV-14,1,"Cooking & Food, Lifestyle & Culture, Reality","In Taste the Nation, award winning cookbook author, host and executive producer Padma Lakshmi, takes audiences on a journey across America, exploring the rich and diverse food culture of various immigrant groups, seeking out the people who have so heavily shaped what American food is today. From indigenous communities to recent immigrant arrivals, Padma breaks bread with Americans across the nation to uncover the roots and relationship between our food, our humanity and our history - ultimately revealing stories that challenge notions of identity, belonging, and what it means to be American.",Hulu
Sweet Home Sextuplets,,,United States,2018,TV-PG,1,Reality,Eric and Courtney Waldrop navigate a high-risk sextuplet pregnancy and delivery while raising three older sons.,Hulu
Brockmire,,,United States,2017,TV-MA,4,"Comedy, Sitcom","After walking in on his wife in bed with the neighbor, famed MLB announcer Jim Brockmire has an epic job-ending meltdown live on the air. A decade later, he decides to reclaim his career calling minor league games in an unknown rust belt small town.",Hulu
Forensic Files,,,United States,1996,TV-MA,7,"Crime, Documentaries","Forensic Files profiles intriguing crimes, accidents, and outbreaks of disease from around the world. Follow coroners, medical examiners, law enforcement personnel and legal experts as they seek the answers to baffling and mysterious cases, which have been ripped from the headlines. Forensic Files puts a new spin on the “whodunit” genre and will satisfy the most ardent true-crime buffs.",Hulu
George to the Rescue,,,United States,2010,TV-G,1,Lifestyle & Culture,George Oliphant comes to the aid of homeowners across the country with renovation and redesign.,Hulu
Crossing Swords,,,United States,2020,TV-MA,1,"Adult Animation, Comedy","From the producers of Robot Chicken, Crossing Swords follows a goodhearted hero wannabe named Patrick, who lands his dream job as a squire, only to learn the royal castle is a corrupt hornet’s nest of horny monarchs, crooks, and charlatans. War, murder, full-frontal nudity – who knew brightly colored peg people led such exciting lives?",Hulu
Tyler Perry's The Haves and the Have Nots,,,United States,2013,TV-14,7,"Black Stories, Drama","In Savannah, Ga., the Cryer family is the enviable face of success and wealth. At least that's how it appears from the outside. But within the walls of the family's opulent mansion, dysfunction and double lives threaten to destroy the Cryers' world of privilege. The family's patriarch, Jim, is a powerful judge with political ambitions that are put at risk by his double life that includes affairs with high-priced escorts. Jim's wife, Katheryn, is willing to do whatever it takes to protect her family's status while playing the role of a loving and dutiful wife. Son Wyatt is a troubled jock who continuously goes in and out of rehab, and daughter Amanda is a struggling law student who has unknowingly befriended a woman, Candace Young, who has the power to ruin the entire family and also happens to be the estranged daughter of the Cryers' maid, Hanna. When manipulative Candace realizes that she is Jim's escort, she sees that as an opportunity of a lifetime.",Hulu
Why We Fight,,,United States,2017,,2,"Documentaries, Sports",Why We Fight follows Cat Zingano as she explores the motivations and stories of fighters across the globe.,Hulu
Where's Waldo?,,,"United States, United Kingdom",2019,TV-Y,1,"Action, Adventure, Family","Kid adventurers Waldo and Wenda are earning their stripes as junior members of an international travel society; but to complete their missions, these young Wanderers must face a rival globetrotter who uses magic to cause trouble all over the world.",Hulu
The Paynes,,,United States,2018,TV-14,2,"Black Stories, Comedy","Curtis and Ella Payne have decided to take the next step in their lives – retirement. A death in the family has the Paynes traveling to Sun Coast, Fla., to attend the funeral of Curtis' Uncle Robert. Their trip takes an unexpected turn when Ella and Curtis get roped into a real estate deal, landing them in a new community with a new church and unfamiliar family members. The family is thrown straight back into the issues that viewers find in their everyday lives. As life lessons abound, Ella finds a new business, new home and new purpose.",Hulu
Hard,,,United States,2020,,1,"Comedy, Drama, Latino","In the wake of her husband's sudden death, a woman inherits the porn film company he was secretly running behind her back in this series.",Hulu
Childrens Hospital,,,United States,2010,TV-14,7,"Comedy, Sitcom","Childrens Hospital explores the emotional struggles and sexual politics of a group of doctors. Their dedication to their personal lives is relentless, interrupted only by the occasional need to treat sick children.",Hulu
Community en Español,,,United States,2009,,6,"Comedy, Latino","Obligado a volver a la escuela cuando su título universitario es considerado falso, el abogado Jeff Crocker (Joel McHale) aterriza en la cabeza de un grupo de estudio de español. Junto con un magnate retirado (Chevy Chase) que tiene mucho que aprender sobre las mujeres del siglo XXI, Jeff trabaja para salvar su carrera legal mientras él y sus amigos aprenden mucho sobre ellos mismos en el intento.",Hulu
Maximilian,,,United States,2017,TV-MA,1,"Drama, History","After the death of Charles the Bold in 1477, his only child is a girl who cannot rule less she marries. Meanwhile in Austria, Emperor Frederick III and his antagonist Louis XI battle over said marriage.",Hulu
Westworld,,,United States,2016,TV-MA,3,"Drama, Mystery, Science Fiction","In this series set in a futuristic fantasy park modeled after the Wild West, a group of android 'hosts' begin to deviate from their scripts.",Hulu
Rig 45,,,United States,2018,TV-MA,2,"Drama, Horror, International","A damage regulator from Benthos Oil is sent out to Rig 45 two days before Christmas to investigate a fatality, which may not be an accident.",Hulu
Miles From Tomorrowland,,,United States,2015,TV-Y,2,"Adventure, Cartoons, Kids","Blastastic! Join Miles and his intergalactic family as they venture out into outer space! Whether he is discovering alien lifeforms, racing across the stars, or exploring new planets Miles always has his family to explore the galaxy with! Join the Callisto family as they help connect the galaxy on behalf of the Tomorrowland Transit Authority. Your wildest imagination is just the beginning in Tomorrowland!",Hulu
Mission Force One,,,United States,2017,TV-Y,1,"Action, Adventure, Kids","The Tomorrowland Transit Authority has created an elite team made up of five incredible kids – experts in the fields of science, technology, engineering, arts, and math. Their mission is to connect the universe and protect it from an evil force known as Nemesystems!",Hulu
Star vs. The Forces of Evil,,,United States,2015,TV-Y7,4,"Adventure, Cartoons, Kids","After a few bold skirmishes with other-worldly monsters, fun-loving magical teen princess Star Butterfly is sent by her Royal Parents to live with the Diaz family on Earth, bringing along her own unique interdimensional style to her new planet. With the Diaz's teenage son Marco by her side, this foreign exchange student from another dimension embarks on new adventures battling evil villains throughout the multiverse and in high school, all in an effort to protect her powerful magic wand which she is still figuring out how to use.",Hulu
World of Dance,,,United States,2017,TV-PG,1,Reality,"Three expert celebrity dancers judge, guide and mentor the world's top dancing talent and troupes of all ages. The competitors showcase their skills, ranging in styles from hip-hop and contemporary to ballroom, Latin and more, bringing their passion to battle it out with the best of the best. Alongside the competition, the performers share their inspirations, challenges and personal backstories while building close connections not only with each other but also with the judges themselves. As the contest intensifies, the field of dancers narrows, and in the finale, finalists vie for a life-changing million-dollar prize.",Hulu
Doc McStuffins,,,"United States, Ireland",2012,TV-Y,5,"Black Stories, Cartoons, Kids","A magical animated series about a six-year-old girl, Doc McStuffins, who has the ability to talk to and heal toys and stuffed animals! With the help of her stuffed animal friends, Doc runs a clinic for toys out of her playhouse. The series emphasizes the importance of lending a helping hand, or paw, when people and toys need it most.",Hulu
Gravity Falls,,,United States,2012,TV-Y7,2,"Cartoons, Comedy, Kids","Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer with their great uncle in the mysterious town of Gravity Falls, Oregon. Upon their arrival, Dipper and Mabel's huckster great uncle, also known as Grunkle Stan, enlists the siblings' help in running The Mystery Shack, a fun tourist trap he owns that overcharges unsuspecting customers. Although Dipper and Mabel quickly discover The Mystery Shack itself is a hoax, they sense there is something strange about their new town and together they begin to unlock the secrets of Gravity Falls.",Hulu
The Titan Games,,,United States,2019,TV-PG,1,"Family, Health & Wellness, Reality","Inspired by Dwayne Johnson's desire to motivate audiences, this competition offers everyday people the chance to step inside the Titan arena and compete in incredible head-to-head battles designed to test their minds, bodies and hearts.",Hulu
Killer in Plain Sight,,,United States,2018,TV-14,2,"Crime, Documentaries, Drama","Disturbing cases featuring culprits who hide in plain sight, giving interviews, posting on social media and showing their faces while having blood on their hands the whole time.",Hulu
K.C. Undercover,,,United States,2015,TV-Y7,3,"Black Stories, Comedy, Family","High school student K.C. Cooper goes undercover as the government's newest secret agent! With her spy family by her side, her wits, and arsenal of gadgets, she's ready for any covert operation, or homework assignment. Join K.C. as she learns that growing up in a family of spies means sharing every mission.",Hulu
Morphle,,,United States,2019,,1,"Action, Adventure, Family","My Magic Pet Morphle' is an animated hit TV show for toddlers and older kids. Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, construction vehicles like diggers, dump trucks and cranes to pets like cats dogs and lions!",Hulu
Scandal,,,United States,2012,TV-14,7,"Black Stories, Drama","A former media relations consultant to the President, Olivia Pope (Kerry Washington) dedicates her life to protecting and defending the public images of our nation's elite. After leaving the White House, the power consultant opened her own firm, hoping to start a new chapter – both professionally and personally – but she can't seem to completely cut ties with her past. Slowly it becomes apparent that her staff, who specialize in fixing the lives of other people, can't quite fix the ones closest at hand – their own.",Hulu
Baskets,,,United States,2016,TV-MA,4,Comedy,"Baskets, a new comedy co-created by and starring Zach Galifianakis, is centered around Chip Baskets (Galifianakis) who wants to follow his dream of being a French clown however, reality keeps interfering. Saddled with financial difficulties and facing an impenetrable language barrier, he moves back home to Bakersfield with high hopes. There, he is forced to confront his past while working as a rodeo clown and competing with his siblings for his mother's approval and affection. The series is produced by FX Productions.",Hulu
Beat Bobby Flay,,,United States,2017,TV-G,4,"Cooking & Food, Family, Lifestyle & Culture","Bobby Flay is no stranger to culinary competitions, whether he's hosting (""Bobby's Dinner Battle"") or competing (""Throwdown With Bobby Flay""). In this program he does both. Each half-hour episode begins with two chefs competing to create a dish using an ingredient chosen by Flay. The winner of that challenge – as determined by a special guest judge – goes to the second round, in which he or she does battle against chef Flay. To make things a little more fair, the challenger has an advantage by being able to prepare a signature dish that is unknown to Bobby until the start of the round. Once he learns what the dish is, Flay must immediately come up with his own version. A panel determines the winner of the second round through a blind taste test. Food Network regulars Sunny Anderson, Anne Burrell and Giada De Laurentiis are among the judges appearing on the show.",Hulu
Digimon Adventure,,,Japan,1999,TV-Y7,1,"Action, Adventure, Anime","While at summer camp, seven kids (Tai, Matt, Sora, Izzy, Mimi, Joe, and T.K) come across seven Digivices and are transported to a strange digital world. In this new world they make friends with creatures that call themselves Digimon (short for Digital Monsters) who were born to defend their world from various evil forces. The children learn they have the ability to help their new Digimon friends digivolve into different Digital Monsters and fight as a team to defend enemies and ultimately find their way home.",Hulu
Digimon Adventure 02,,,United States,2000,TV-Y7,1,"Action, Adventure, Anime","3 years after the adventure of Tai and his friends, a new enemy Digimon Kaiser appears in the Digital World and he is out to control all Digimon. The powers of Digimon Kaiser prevent Agumon and other Digimon from Digivolving, causing a big scare. In this pinch a new generation of hero arrives, it's the Veemon! Veemon is able to combine with DigiMental and create a new type of Digimon that has never been seen before. Tai calls upon Daisuke Motomiya, a kid on his soccer team to the Digital World and to fight along with Veemon. What kind of adventures will this new pair run into, but more importantly, will they be able to save the Digital World from the Digimon Kaiser?",Hulu
Digimon Frontier,,,United States,2003,TV-Y7,1,"Action, Adventure, Anime",Dark forces reign over the Digital World and only the DigiDestined can help rid it of evil forever.,Hulu
Digimon Tamers,,,Japan,2001,TV-Y7,1,"Action, Adventure, Anime","A group of 12-year-olds, Takato, Henry and Rika (fans of the Digimon card game) meet their own Digimon friends and start to duel ""bio-emerging"" Digimon who cross the barrier between the information network and their world.",Hulu
Fast N' Loud,,,United States,2012,TV-14,2,"Lifestyle & Culture, Reality","Fast N’ Loud searches America’s virtual graveyard for classic cars. From ’57 Chevys to ’73 Trans Ams, these cars are screaming to be brought back to life. To most they’re just rust buckets, but to Richard Rawlings and Aaron Kaufmann, they’re a goldmine.",Hulu
