name,location,releaseYear,rating,length,genre,Streaming Service,serverId
Fast & Furious Spy Racers,United States,2021,0,5 Seasons,Kids' TV,Netflix,0
Gone for Good,France,2021,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Grace and Frankie,United States,2021,0,7 Seasons,"TV Comedies, TV Dramas",Netflix,0
The Kingdom,Argentina,2021,0,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
Valeria,Spain,2021,0,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix,0
AlRawabi School for Girls,Jordan,2021,0,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",Netflix,0
Bake Squad,United States,2021,0,1 Season,Reality TV,Netflix,0
Gabby's Dollhouse,United States,2021,0,2 Seasons,Kids' TV,Netflix,0
I Need Romance,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Las muñecas de la mafia,Colombia,2018,0,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
The Crowned Clown,South Korea,2019,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
SHAMAN KING,Japan,2021,0,1 Season,"Anime Series, International TV Shows",Netflix,0
Hit & Run,"Israel, United States",2021,0,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries",Netflix,0
Navarasa,India,2021,0,1 Season,TV Shows,Netflix,0
Car Masters: Rust to Riches,,2021,0,3 Seasons,Reality TV,Netflix,0
Cocaine Cowboys: The Kings of Miami,United States,2021,0,1 Season,"Crime TV Shows, Docuseries",Netflix,0
Control Z,Mexico,2021,0,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix,0
Cooking With Paris,United States,2021,0,1 Season,Reality TV,Netflix,0
Autumn's Concerto,Taiwan,2009,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Office Girls,Taiwan,2011,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
The Prince Who Turns into a Frog,Taiwan,2005,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Top Secret UFO Projects: Declassified,,2021,0,1 Season,Docuseries,Netflix,0
Two Fathers,Taiwan,2013,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
You're My Destiny,Taiwan,2008,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
30 Rock,United States,2012,0,7 Seasons,TV Comedies,Netflix,0
44 Cats,Italy,2020,0,3 Seasons,Kids' TV,Netflix,0
Darwin’s Game,,2020,0,1 Season,"Anime Series, International TV Shows, TV Thrillers",Netflix,0
Friday Night Lights,,2010,0,5 Seasons,"TV Dramas, Teen TV Shows",Netflix,0
Hunter X Hunter (2011),Japan,2014,0,6 Seasons,"Anime Series, International TV Shows",Netflix,0
Charmed,United States,2021,0,3 Seasons,"TV Dramas, TV Sci-Fi & Fantasy",Netflix,0
Centaurworld,,2021,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Glow Up,United Kingdom,2021,0,3 Seasons,"British TV Shows, International TV Shows, Reality TV",Netflix,0
Khawatir,,2009,0,1 Season,"International TV Shows, Reality TV",Netflix,0
Myth & Mogul: John DeLorean,,2021,0,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Netflix,0
Outer Banks,United States,2021,0,2 Seasons,"TV Action & Adventure, TV Dramas, Teen TV Shows",Netflix,0
Transformers: War for Cybertron: Kingdom,,2021,0,1 Season,Anime Series,Netflix,0
Tattoo Redo,,2021,0,1 Season,Reality TV,Netflix,0
The Flash,United States,2021,0,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,0
The Snitch Cartel: Origins,,2021,0,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
All American,United States,2021,0,3 Seasons,"TV Dramas, Teen TV Shows",Netflix,0
How to Sell Drugs Online (Fast),Germany,2021,0,3 Seasons,"Crime TV Shows, International TV Shows, TV Comedies",Netflix,0
Mighty Express,"United States, Canada",2021,0,4 Seasons,Kids' TV,Netflix,0
Plastic Cup Boyz: Laughing My Mask Off!,,2021,0,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
The Walking Dead,United States,2019,0,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas",Netflix,0
Wynonna Earp,"Canada, United States",2020,0,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",Netflix,0
Feels Like Ishq,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Masters of the Universe: Revelation,,2021,0,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,0
Revelations: The Masters of the Universe: Revelation Aftershow,,2021,0,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",Netflix,0
Sky Rojo,Spain,2021,0,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Netflix,0
The Movies That Made Us,United States,2021,0,2 Seasons,Docuseries,Netflix,0
Chicago Med,United States,2019,0,5 Seasons,TV Dramas,Netflix,0
